Date,Open,Low,High,Close,Volume
2025-07-03 08:20:00,109652.58,109624.77,109652.58,109624.78,39805872.35555556
2025-07-03 08:21:00,109624.78,109621.93,109651.98,109651.98,39188787.2
2025-07-03 08:22:00,109648.44,109619.16,109648.44,109619.16,39195178.666666664
2025-07-03 08:23:00,109619.16,109607.03,109619.16,109607.03,39849304.177777775
2025-07-03 08:24:00,109618.58,109603.71,109618.58,109603.71,39850618.31111111
2025-07-03 08:25:00,109629.0,109597.33,109634.27,109623.72,39198125.51111111
2025-07-03 08:26:00,109623.71,109623.71,109650.08,109630.15,39469252.266666666
2025-07-03 08:27:00,109613.71,109599.18,109613.71,109599.53,39454449.777777776
2025-07-03 08:28:00,109599.19,109599.19,109625.27,109605.49,38750819.55555555
2025-07-03 08:29:00,109614.16,109605.5,109654.79,109654.7,39848200.53333333
2025-07-03 08:30:00,109709.14,109480.97,109958.15,109480.97,39848200.53333333
2025-07-03 08:31:00,109533.8,109417.62,109611.78,109611.78,39821732.97777778
2025-07-03 08:32:00,109623.17,109575.27,109641.23,109629.4,39993850.31111111
2025-07-03 08:33:00,109621.91,109399.2,109621.91,109399.2,39993850.31111111
2025-07-03 08:34:00,109403.04,109320.02,109405.24,109330.63,39301606.4
2025-07-03 08:35:00,109371.59,109371.59,109505.0,109387.26,40113578.666666664
2025-07-03 08:36:00,109376.73,109271.75,109376.73,109314.1,40022266.31111111
2025-07-03 08:37:00,109315.93,109198.27,109315.93,109209.18,40102473.95555556
2025-07-03 08:38:00,109180.9,109059.79,109180.9,109078.58,39512854.755555555
2025-07-03 08:39:00,109081.39,108938.08,109125.08,108987.79,40205380.266666666
2025-07-03 08:40:00,109020.29,108995.57,109081.73,109078.58,39463682.844444446
2025-07-03 08:41:00,109096.63,108890.96,109096.63,108904.79,39592556.08888889
2025-07-03 08:42:00,108897.51,108826.34,108955.39,108955.39,39544371.2
2025-07-03 08:43:00,108940.35,108927.94,108981.17,108946.94,39590192.35555556
2025-07-03 08:44:00,108910.14,108910.14,108995.63,108954.54,39737918.57777778
2025-07-03 08:45:00,108990.67,108880.11,108990.67,108880.11,39712600.177777775
2025-07-03 08:46:00,108873.41,108863.99,108922.44,108922.44,39664099.55555555
2025-07-03 08:47:00,108923.27,108858.45,108953.3,108858.45,39811547.02222222
2025-07-03 08:48:00,108857.62,108820.01,108857.62,108820.01,39815870.57777778
2025-07-03 08:49:00,108820.0,108783.59,108870.71,108783.59,39830701.51111111
2025-07-03 08:50:00,108777.7,108777.7,108957.73,108957.73,40511661.51111111
2025-07-03 08:51:00,108961.25,108960.29,109016.03,108995.01,40511661.51111111
2025-07-03 08:52:00,109012.17,108999.87,109043.57,109010.39,40446603.37777778
2025-07-03 08:53:00,109014.5,108917.0,109032.82,109011.15,39872497.777777776
2025-07-03 08:54:00,109011.22,109011.22,109108.24,109044.19,39870085.68888889
2025-07-03 08:55:00,109058.99,109052.75,109137.98,109137.98,39922286.93333333
2025-07-03 08:56:00,109123.66,109036.0,109161.94,109159.1,40013974.755555555
2025-07-03 08:57:00,109159.09,109131.05,109187.1,109137.04,39980120.177777775
2025-07-03 08:58:00,109169.26,109144.17,109192.24,109186.64,39880342.755555555
2025-07-03 08:59:00,109186.63,109181.43,109232.41,109181.43,39994663.822222225
2025-07-03 09:00:00,109189.09,109175.67,109248.98,109248.98,39994663.822222225
2025-07-03 09:01:00,109254.86,109247.55,109336.25,109332.03,39994663.822222225
2025-07-03 09:02:00,109289.79,109248.68,109314.19,109248.68,40177991.11111111
2025-07-03 09:03:00,109207.61,109164.52,109221.41,109209.65,40718452.62222222
2025-07-03 09:04:00,109209.64,109209.64,109292.2,109285.3,40684464.35555556
2025-07-03 09:05:00,109259.14,109205.84,109294.96,109294.96,40757222.4
2025-07-03 09:06:00,109328.39,109281.28,109328.39,109325.49,40757222.4
2025-07-03 09:07:00,109339.93,109314.44,109351.86,109339.04,40205624.88888889
2025-07-03 09:08:00,109347.15,109309.43,109378.28,109378.28,40873252.97777778
2025-07-03 09:09:00,109381.03,109309.5,109399.59,109309.5,40156305.06666667
2025-07-03 09:10:00,109332.95,109297.81,109374.74,109374.74,40172950.755555555
2025-07-03 09:11:00,109371.64,109361.57,109412.61,109408.97,40172950.755555555
2025-07-03 09:12:00,109408.97,109381.83,109436.28,109381.83,39777720.88888889
2025-07-03 09:13:00,109362.96,109350.53,109377.3,109377.3,39806862.222222224
2025-07-03 09:14:00,109359.47,109309.0,109421.06,109369.94,39804333.51111111
2025-07-03 09:15:00,109373.91,109331.1,109388.75,109359.67,39804333.51111111
2025-07-03 09:16:00,109362.82,109362.81,109427.6,109407.71,39802788.97777778
2025-07-03 09:17:00,109407.7,109307.64,109407.7,109321.27,39796044.8
2025-07-03 09:18:00,109319.81,109298.9,109330.57,109309.91,39822193.777777776
2025-07-03 09:19:00,109303.43,109273.21,109315.01,109305.99,39860067.55555555
2025-07-03 09:20:00,109305.99,109289.66,109345.3,109330.61,39860067.55555555
2025-07-03 09:21:00,109330.6,109297.81,109334.0,109334.0,40477255.11111111
2025-07-03 09:22:00,109343.47,109343.47,109379.87,109347.01,40389398.755555555
2025-07-03 09:23:00,109366.9,109308.0,109405.17,109341.79,40898030.93333333
